idx,user_id,transaction_date,transaction month,Time,product_category,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,device_type,location
30,USER_08737,20/08/2023,August,13:14:00,Gas Bill,Mahanagar Gas,9734.95,48.71,87.78,447.00,UPI,Successful,Android,Urban
31,USER_08347,20/08/2023,August,15:20:00,Electricity Bill,MSEDCL,1916.58,38.48,10.81,83.00,Credit Card,Successful,iOS,Urban
32,USER_06829,20/08/2023,August,16:29:00,Taxi Fare,Jugnoo,2014.63,23.48,92.50,370.00,Wallet Balance,Successful,Android,Urban
33,USER_04117,20/08/2023,August,17:38:00,Water Bill,Hyderabad Water Board,1296.33,43.54,87.90,698.00,Debit Card,Successful,Android,Urban
34,USER_06155,20/08/2023,August,17:40:00,Electricity Bill,Tata Power,9313.74,44.37,16.47,594.00,Bank Transfer,Successful,Android,Rural
35,USER_00051,20/08/2023,August,17:50:00,Bus Ticket,RedBus,6734.22,36.88,64.16,424.00,Wallet Balance,Successful,Android,Urban
36,USER_00930,20/08/2023,August,18:16:00,Internet Bill,Jio Fiber,1760.92,38.50,86.45,280.00,Bank Transfer,Successful,Web,Rural
37,USER_03591,20/08/2023,August,19:48:00,Insurance Premium,Max Life,5183.52,35.92,41.85,806.00,UPI,Successful,Android,Urban
38,USER_02590,20/08/2023,August,19:50:00,Internet Bill,ACT Fibernet,8721.20,34.19,70.07,877.00,Credit Card,Successful,Android,Urban
39,USER_03043,20/08/2023,August,19:51:00,Gaming Credits,Call of Duty Mobile,7975.27,3.56,18.94,349.00,Bank Transfer,Successful,Android,Suburban
40,USER_03935,20/08/2023,August,21:03:00,Movie Ticket,Carnival Cinemas,5741.96,24.87,3.55,60.00,UPI,Successful,Android,Urban
41,USER_03336,20/08/2023,August,22:06:00,Loan Repayment,ICICI Bank,2578.28,35.06,59.04,78.00,Bank Transfer,Successful,Android,Urban
42,USER_03325,20/08/2023,August,22:20:00,Insurance Premium,Max Life,3855.29,23.46,73.61,117.00,UPI,Successful,iOS,Urban
43,USER_03528,20/08/2023,August,23:10:00,Mobile Recharge,Airtel,1446.76,6.15,75.16,684.00,Debit Card,Successful,iOS,Suburban
44,USER_01473,21/08/2023,August,00:57:00,Gas Bill,Bharat Gas,3090.15,20.30,32.99,714.00,Debit Card,Successful,Android,Urban
45,USER_03895,21/08/2023,August,01:16:00,Water Bill,Hyderabad Water Board,1203.62,32.45,73.95,961.00,Debit Card,Successful,Web,Urban
46,USER_00326,21/08/2023,August,03:53:00,Grocery Shopping,Amazon Pantry,372.60,6.61,67.38,379.00,UPI,Successful,Android,Suburban
47,USER_06052,21/08/2023,August,04:27:00,Movie Ticket,INOX,7393.64,33.05,80.36,415.00,Bank Transfer,Successful,Android,Rural
48,USER_03700,21/08/2023,August,04:58:00,Water Bill,Bangalore Water Supply,6326.46,8.23,64.76,909.00,UPI,Successful,iOS,Suburban
49,USER_07984,21/08/2023,August,05:28:00,Loan Repayment,HDFC Bank,1044.85,3.60,95.47,769.00,Debit Card,Successful,Android,Urban
50,USER_04870,21/08/2023,August,05:49:00,Taxi Fare,Uber,408.34,9.82,99.57,153.00,Credit Card,Successful,Android,Suburban
51,USER_04742,21/08/2023,August,07:53:00,Rent Payment,OYO Life,8783.03,47.70,51.80,373.00,Bank Transfer,Successful,iOS,Rural
52,USER_08741,21/08/2023,August,15:14:00,Mobile Recharge,Idea,9654.79,30.42,44.61,602.00,Debit Card,Successful,Android,Rural
53,USER_07974,21/08/2023,August,16:33:00,Grocery Shopping,Flipkart Supermart,4910.93,40.94,48.52,804.00,Credit Card,Successful,Android,Suburban
54,USER_05484,21/08/2023,August,17:00:00,Food Delivery,Uber Eats,7012.40,40.47,47.37,872.00,Wallet Balance,Successful,Android,Urban
55,USER_07662,21/08/2023,August,17:24:00,Gas Bill,Mahanagar Gas,6464.24,1.28,81.33,281.00,Debit Card,Successful,Web,Urban
56,USER_01404,21/08/2023,August,19:32:00,Loan Repayment,ICICI Bank,9828.97,21.55,50.04,414.00,UPI,Successful,Android,Urban
57,USER_06644,21/08/2023,August,19:43:00,Taxi Fare,Rapido,4849.13,46.72,88.66,859.00,Bank Transfer,Successful,iOS,Urban
58,USER_03963,21/08/2023,August,21:05:00,Taxi Fare,Rapido,7078.24,29.32,92.22,533.00,Bank Transfer,Successful,Android,Urban
59,USER_02160,22/08/2023,August,02:57:00,Streaming Service,Netflix,748.75,21.57,34.34,344.00,Debit Card,Successful,Android,Urban
60,USER_00509,22/08/2023,August,05:04:00,Internet Bill,BSNL Broadband,615.89,11.53,21.79,777.00,UPI,Successful,Android,Urban
61,USER_05421,22/08/2023,August,10:37:00,Taxi Fare,Rapido,96.70,39.00,72.11,115.00,Wallet Balance,Successful,Android,Urban
62,USER_00536,22/08/2023,August,10:47:00,Gaming Credits,Minecraft,8716.70,49.55,11.57,397.00,Wallet Balance,Successful,Android,Urban
63,USER_03732,22/08/2023,August,13:11:00,Online Shopping,Myntra,3771.14,39.58,91.57,547.00,UPI,Successful,Android,Urban
64,USER_00058,22/08/2023,August,15:49:00,Grocery Shopping,Flipkart Supermart,6031.60,22.93,31.89,207.00,UPI,Successful,Android,Urban
65,USER_01431,22/08/2023,August,16:21:00,Electricity Bill,Reliance Energy,8108.09,13.20,36.14,867.00,Wallet Balance,Successful,Android,Urban
66,USER_01569,22/08/2023,August,20:00:00,Water Bill,Chennai Metro Water,3424.46,27.19,3.46,831.00,UPI,Successful,Web,Suburban
67,USER_09093,22/08/2023,August,20:38:00,Internet Bill,Hathway,2896.65,18.20,80.13,808.00,Debit Card,Successful,iOS,Urban
68,USER_08679,22/08/2023,August,22:04:00,Gas Bill,Mahanagar Gas,9067.49,16.75,51.84,719.00,Debit Card,Successful,Android,Suburban
69,USER_03820,22/08/2023,August,22:29:00,Streaming Service,Amazon Prime,1188.69,32.07,46.51,490.00,UPI,Successful,Android,Suburban
70,USER_03468,22/08/2023,August,23:43:00,Rent Payment,Housing.com,2938.73,12.92,46.18,481.00,Bank Transfer,Successful,iOS,Suburban
71,USER_02224,23/08/2023,August,00:17:00,Mobile Recharge,Vodafone,2189.95,14.73,89.05,803.00,UPI,Successful,Android,Urban
72,USER_04519,23/08/2023,August,00:40:00,Gift Card,Amazon Pay,4691.67,38.55,80.81,981.00,Debit Card,Successful,Android,Suburban
73,USER_00916,23/08/2023,August,02:01:00,Food Delivery,Foodpanda,857.92,41.42,44.50,43.00,Credit Card,Successful,Android,Urban
74,USER_06348,23/08/2023,August,03:27:00,Online Shopping,Nykaa,8391.75,31.98,99.29,514.00,Bank Transfer,Successful,Android,Urban
75,USER_01868,23/08/2023,August,03:31:00,Water Bill,Mumbai Water,9128.09,9.06,47.54,337.00,Debit Card,Successful,Web,Urban
76,USER_00724,23/08/2023,August,05:31:00,Movie Ticket,SPI Cinemas,3426.77,10.67,39.77,739.00,Debit Card,Successful,Android,Urban
77,USER_09458,23/08/2023,August,08:40:00,Streaming Service,Hotstar,8125.43,31.15,75.32,916.00,Bank Transfer,Successful,Android,Rural
78,USER_06794,23/08/2023,August,10:11:00,Movie Ticket,Cinepolis,6496.05,10.27,1.54,117.00,Bank Transfer,Successful,Web,Urban
79,USER_01317,23/08/2023,August,13:08:00,Movie Ticket,Cinepolis,1422.16,2.70,23.37,745.00,Debit Card,Successful,Web,Urban
80,USER_02077,23/08/2023,August,15:48:00,Flight Booking,MakeMyTrip,7018.18,14.38,1.93,130.00,Credit Card,Successful,Android,Urban
81,USER_06845,23/08/2023,August,16:38:00,Insurance Premium,HDFC Life,7061.81,16.36,31.02,689.00,Debit Card,Successful,Android,Urban
82,USER_02524,23/08/2023,August,17:36:00,Electricity Bill,Reliance Energy,4136.44,27.96,79.10,85.00,Bank Transfer,Successful,Android,Urban
83,USER_05459,23/08/2023,August,20:10:00,Loan Repayment,SBI,4527.36,44.44,43.92,771.00,Debit Card,Failed,Android,Urban
84,USER_06965,23/08/2023,August,23:07:00,Loan Repayment,Bajaj Finserv,7892.35,1.59,10.34,712.00,Debit Card,Successful,iOS,Urban
85,USER_02936,24/08/2023,August,03:27:00,Mobile Recharge,Vodafone,2668.82,16.31,8.45,100.00,UPI,Successful,Android,Urban
86,USER_00889,24/08/2023,August,03:32:00,Education Fee,Udemy,8739.50,6.53,1.15,368.00,Bank Transfer,Successful,iOS,Urban
87,USER_02268,24/08/2023,August,05:04:00,Flight Booking,Yatra,5080.37,18.86,61.96,536.00,Credit Card,Successful,iOS,Urban
88,USER_06110,24/08/2023,August,05:46:00,Mobile Recharge,Jio,8451.05,5.48,6.55,265.00,Credit Card,Successful,Android,Urban
89,USER_06578,24/08/2023,August,06:02:00,Bus Ticket,Goibibo,12.86,36.32,18.54,271.00,Credit Card,Successful,Web,Urban
90,USER_03529,24/08/2023,August,09:32:00,Grocery Shopping,BigBasket,1445.33,18.06,53.29,995.00,Credit Card,Successful,iOS,Urban
91,USER_03485,24/08/2023,August,09:55:00,Water Bill,Hyderabad Water Board,3635.80,5.49,16.98,506.00,Credit Card,Successful,Android,Urban
92,USER_00515,24/08/2023,August,13:18:00,Internet Bill,Jio Fiber,9480.13,13.75,66.23,765.00,Credit Card,Successful,Android,Urban
93,USER_02129,24/08/2023,August,15:15:00,Bus Ticket,Goibibo,7517.70,21.91,94.53,777.00,Wallet Balance,Successful,Android,Urban
94,USER_08642,24/08/2023,August,17:22:00,Internet Bill,Jio Fiber,2207.77,43.56,1.96,974.00,Wallet Balance,Successful,iOS,Suburban
95,USER_00975,24/08/2023,August,18:51:00,Food Delivery,Uber Eats,3366.31,2.87,75.32,301.00,Bank Transfer,Successful,Android,Urban
96,USER_06105,24/08/2023,August,20:49:00,Rent Payment,Nestaway,1238.04,31.05,7.53,215.00,UPI,Successful,iOS,Suburban
97,USER_05483,24/08/2023,August,21:08:00,Streaming Service,ZEE5,6361.03,6.08,16.61,185.00,Debit Card,Successful,Android,Suburban
98,USER_03020,24/08/2023,August,21:35:00,Food Delivery,Domino's,2966.49,36.57,25.29,17.00,Bank Transfer,Successful,Web,Urban
99,USER_00836,24/08/2023,August,21:56:00,Food Delivery,Uber Eats,8591.59,40.07,8.79,639.00,Credit Card,Successful,Android,Urban
100,USER_09219,25/08/2023,August,04:08:00,Education Fee,Coursera,4804.37,47.31,34.84,59.00,UPI,Successful,Android,Urban
101,USER_02867,25/08/2023,August,04:10:00,Water Bill,Bangalore Water Supply,7572.76,23.80,4.28,743.00,UPI,Successful,iOS,Suburban
102,USER_08415,25/08/2023,August,04:37:00,Streaming Service,Hotstar,5841.56,33.20,5.62,657.00,Debit Card,Successful,Web,Urban
103,USER_00933,25/08/2023,August,06:56:00,Electricity Bill,Reliance Energy,5060.40,40.23,34.40,808.00,Bank Transfer,Successful,Web,Urban
104,USER_00664,25/08/2023,August,08:08:00,Education Fee,Coursera,6696.57,37.49,31.55,741.00,Bank Transfer,Successful,Android,Rural
105,USER_06850,25/08/2023,August,09:58:00,Water Bill,Chennai Metro Water,6139.37,24.65,35.73,105.00,Credit Card,Successful,Android,Urban
106,USER_09242,25/08/2023,August,10:33:00,Mobile Recharge,Vodafone,311.14,24.20,73.73,470.00,Debit Card,Successful,iOS,Urban
107,USER_06733,25/08/2023,August,14:43:00,Grocery Shopping,BigBasket,4241.54,38.10,37.51,140.00,Credit Card,Successful,iOS,Urban
108,USER_01196,25/08/2023,August,15:14:00,Grocery Shopping,Grofers,9425.57,35.34,32.74,46.00,Credit Card,Successful,Android,Urban
109,USER_02750,25/08/2023,August,15:37:00,Gift Card,Shoppers Stop,2356.93,20.48,78.20,356.00,Debit Card,Successful,Android,Urban
110,USER_05320,25/08/2023,August,16:25:00,Online Shopping,Snapdeal,7395.31,23.91,39.39,798.00,Debit Card,Successful,Android,Suburban
111,USER_09262,25/08/2023,August,19:43:00,Electricity Bill,CESC,7602.07,34.42,82.11,849.00,UPI,Successful,iOS,Urban
112,USER_06818,25/08/2023,August,21:13:00,Streaming Service,ZEE5,6337.18,6.01,99.34,679.00,Credit Card,Successful,iOS,Rural
113,USER_01268,25/08/2023,August,21:29:00,Taxi Fare,Ola,3692.30,6.02,95.87,929.00,Bank Transfer,Successful,iOS,Urban
114,USER_09924,26/08/2023,August,02:13:00,Grocery Shopping,Grofers,1142.21,35.62,42.15,124.00,Wallet Balance,Failed,Android,Urban
115,USER_07258,26/08/2023,August,03:26:00,Education Fee,Unacademy,285.88,45.46,12.95,75.00,UPI,Successful,Android,Urban
116,USER_09996,26/08/2023,August,07:11:00,Gas Bill,Adani Gas,4850.57,18.27,72.06,772.00,Wallet Balance,Successful,iOS,Suburban
117,USER_03718,26/08/2023,August,07:19:00,Gift Card,Shoppers Stop,2561.56,17.73,85.84,601.00,Credit Card,Successful,iOS,Urban
118,USER_02774,26/08/2023,August,10:05:00,Mobile Recharge,BSNL,7444.55,31.44,6.00,713.00,Bank Transfer,Successful,iOS,Suburban
119,USER_02811,26/08/2023,August,14:47:00,Streaming Service,Hotstar,4107.54,48.36,74.12,287.00,Wallet Balance,Successful,Android,Urban
120,USER_02102,26/08/2023,August,15:51:00,Gift Card,Lifestyle,8138.42,11.22,37.25,26.00,Wallet Balance,Successful,iOS,Suburban
121,USER_09149,27/08/2023,August,00:08:00,Taxi Fare,Jugnoo,7753.32,14.20,51.88,10.00,Debit Card,Successful,iOS,Suburban
122,USER_02898,27/08/2023,August,02:29:00,Electricity Bill,BSES,401.62,34.59,49.53,974.00,Credit Card,Successful,Web,Urban
123,USER_03240,27/08/2023,August,04:36:00,Gaming Credits,PUBG Mobile,9798.21,10.88,74.99,648.00,Bank Transfer,Successful,iOS,Urban
124,USER_02003,27/08/2023,August,05:18:00,Insurance Premium,Max Life,3219.31,30.47,16.05,184.00,Wallet Balance,Successful,iOS,Urban
125,USER_00265,27/08/2023,August,12:26:00,Loan Repayment,Axis Bank,7838.24,38.64,2.20,320.00,Debit Card,Successful,iOS,Urban
126,USER_02119,27/08/2023,August,14:43:00,Loan Repayment,Bajaj Finserv,9563.15,6.98,39.67,987.00,Bank Transfer,Successful,Android,Urban
127,USER_09176,27/08/2023,August,20:19:00,Mobile Recharge,Jio,8770.44,14.71,65.33,551.00,UPI,Successful,Android,Urban
128,USER_01496,28/08/2023,August,02:17:00,Taxi Fare,Ola,5436.10,44.56,33.44,84.00,Wallet Balance,Successful,iOS,Urban
129,USER_05834,28/08/2023,August,11:10:00,Gaming Credits,PUBG Mobile,2008.49,34.38,6.54,405.00,Credit Card,Successful,Web,Urban
130,USER_00028,28/08/2023,August,13:13:00,Insurance Premium,HDFC Life,159.65,40.69,99.87,827.00,Bank Transfer,Successful,Android,Urban
131,USER_05235,28/08/2023,August,15:57:00,Online Shopping,Myntra,9479.03,12.31,65.73,200.00,UPI,Successful,Android,Urban
132,USER_01438,28/08/2023,August,19:42:00,Streaming Service,Amazon Prime,808.63,1.44,55.30,293.00,UPI,Successful,iOS,Urban
133,USER_00531,29/08/2023,August,01:01:00,Electricity Bill,Reliance Energy,4637.33,24.59,36.95,276.00,Debit Card,Successful,Android,Suburban
134,USER_02780,29/08/2023,August,01:24:00,Flight Booking,Ixigo,6639.25,46.30,72.48,462.00,Wallet Balance,Successful,Android,Urban
135,USER_09440,29/08/2023,August,02:31:00,Food Delivery,Uber Eats,4260.66,16.61,9.01,2.00,Wallet Balance,Successful,Android,Suburban
136,USER_01017,29/08/2023,August,02:37:00,Hotel Booking,Airbnb,8409.93,42.68,71.40,996.00,Wallet Balance,Successful,Android,Urban
137,USER_00037,29/08/2023,August,07:10:00,Internet Bill,Airtel Broadband,5217.66,46.04,6.60,746.00,Wallet Balance,Successful,iOS,Suburban
138,USER_07960,29/08/2023,August,07:18:00,Mobile Recharge,Jio,4156.30,19.26,33.14,279.00,Credit Card,Successful,Android,Suburban
139,USER_03376,29/08/2023,August,09:13:00,Water Bill,Mumbai Water,8952.34,41.54,80.92,260.00,Credit Card,Successful,Web,Urban
140,USER_05098,29/08/2023,August,09:24:00,Loan Repayment,ICICI Bank,8459.50,33.75,10.80,556.00,Debit Card,Successful,Android,Rural
141,USER_05169,29/08/2023,August,10:23:00,Mobile Recharge,Airtel,7881.82,48.46,75.81,220.00,Credit Card,Successful,Android,Urban
142,USER_09907,29/08/2023,August,13:33:00,Electricity Bill,Tata Power,1377.65,19.26,92.51,921.00,UPI,Successful,iOS,Urban
143,USER_00371,29/08/2023,August,13:51:00,Hotel Booking,Fab Hotels,2910.30,6.78,74.97,727.00,UPI,Successful,Android,Urban
144,USER_06230,29/08/2023,August,14:29:00,Internet Bill,Airtel Broadband,7160.72,19.52,43.27,198.00,UPI,Failed,iOS,Urban
145,USER_04371,29/08/2023,August,16:50:00,Gaming Credits,PUBG Mobile,5617.83,14.28,6.46,925.00,UPI,Successful,Android,Suburban
146,USER_02079,29/08/2023,August,17:04:00,Education Fee,Vedantu,1131.67,20.89,49.26,901.00,Bank Transfer,Successful,Web,Suburban
147,USER_06707,29/08/2023,August,19:43:00,Loan Repayment,SBI,9082.41,37.06,63.76,828.00,Bank Transfer,Successful,iOS,Urban
148,USER_01234,29/08/2023,August,20:22:00,Streaming Service,Netflix,5324.86,44.27,50.04,525.00,UPI,Failed,Android,Rural
149,USER_09491,29/08/2023,August,20:26:00,Loan Repayment,SBI,2386.99,9.73,53.97,345.00,UPI,Successful,Android,Urban
150,USER_06445,29/08/2023,August,20:31:00,Online Shopping,Flipkart,856.10,4.23,76.02,979.00,Bank Transfer,Successful,Android,Rural
151,USER_05897,29/08/2023,August,20:40:00,Gift Card,Shoppers Stop,306.79,31.96,28.41,567.00,Wallet Balance,Successful,iOS,Urban
152,USER_08042,30/08/2023,August,00:21:00,Internet Bill,Airtel Broadband,1197.19,34.77,35.97,388.00,Wallet Balance,Successful,Android,Urban
153,USER_09116,30/08/2023,August,04:36:00,Education Fee,Unacademy,1136.18,19.32,44.23,935.00,Debit Card,Successful,Android,Urban
154,USER_08946,30/08/2023,August,09:15:00,Gift Card,Shoppers Stop,9532.34,5.14,3.66,828.00,Debit Card,Successful,Android,Urban
155,USER_00408,30/08/2023,August,09:27:00,Electricity Bill,Reliance Energy,1266.71,28.03,31.74,700.00,Debit Card,Successful,Android,Rural
156,USER_04676,30/08/2023,August,16:39:00,Online Shopping,Snapdeal,8304.95,42.61,18.14,706.00,Credit Card,Successful,Android,Urban
157,USER_09923,30/08/2023,August,22:19:00,Gas Bill,Mahanagar Gas,8833.85,7.96,43.05,629.00,Credit Card,Successful,Android,Urban
158,USER_01043,30/08/2023,August,22:22:00,Gaming Credits,Minecraft,4931.17,20.72,72.59,386.00,Wallet Balance,Successful,Android,Rural
159,USER_06172,31/08/2023,August,00:24:00,Flight Booking,MakeMyTrip,7373.47,20.99,15.03,55.00,Debit Card,Successful,Android,Urban
160,USER_01705,31/08/2023,August,06:58:00,Loan Repayment,Axis Bank,4045.53,48.40,0.96,975.00,Bank Transfer,Successful,Android,Urban
161,USER_05568,31/08/2023,August,09:18:00,Gift Card,Pantaloons,3895.70,21.24,44.34,78.00,Wallet Balance,Successful,iOS,Urban
162,USER_00301,31/08/2023,August,09:46:00,Education Fee,Unacademy,5909.45,28.56,57.75,583.00,Credit Card,Successful,iOS,Urban
163,USER_06067,31/08/2023,August,10:13:00,Bus Ticket,Paytm Bus,1617.22,38.06,35.50,755.00,Bank Transfer,Successful,iOS,Urban
164,USER_03315,31/08/2023,August,17:57:00,Internet Bill,Jio Fiber,1362.66,22.00,66.23,184.00,Wallet Balance,Successful,Android,Urban
165,USER_00414,31/08/2023,August,19:12:00,Online Shopping,Amazon,4473.63,45.60,25.78,388.00,UPI,Successful,iOS,Urban
166,USER_07678,31/08/2023,August,21:28:00,Gas Bill,Gujarat Gas,5756.92,3.04,64.10,504.00,UPI,Successful,Android,Suburban
167,USER_02353,31/08/2023,August,23:08:00,Flight Booking,Yatra,4832.85,38.25,95.80,450.00,Wallet Balance,Successful,Android,Urban
168,USER_05321,31/08/2023,August,23:26:00,Gaming Credits,Minecraft,2981.17,18.65,30.62,411.00,Wallet Balance,Successful,Android,Urban
169,USER_08451,01/09/2023,September,02:54:00,Grocery Shopping,Nature's Basket,1166.92,22.29,21.13,292.00,UPI,Successful,Android,Urban
170,USER_02656,01/09/2023,September,07:20:00,Insurance Premium,SBI Life,2237.63,28.09,54.35,370.00,Credit Card,Successful,iOS,Urban
171,USER_08017,01/09/2023,September,09:35:00,Gift Card,Shoppers Stop,598.18,39.95,22.63,247.00,Credit Card,Successful,iOS,Urban
172,USER_02075,01/09/2023,September,10:18:00,Rent Payment,NoBroker,9274.76,1.97,49.03,229.00,Wallet Balance,Successful,Android,Suburban
173,USER_08782,01/09/2023,September,10:36:00,Internet Bill,ACT Fibernet,9477.50,4.87,5.60,923.00,Wallet Balance,Successful,iOS,Rural
174,USER_08433,01/09/2023,September,10:41:00,Online Shopping,Snapdeal,5155.70,45.25,54.56,221.00,Bank Transfer,Successful,iOS,Urban
175,USER_04308,01/09/2023,September,10:45:00,Food Delivery,Swiggy,372.37,13.81,7.16,497.00,UPI,Successful,iOS,Urban
176,USER_08211,01/09/2023,September,13:14:00,Gaming Credits,Minecraft,8107.72,4.81,0.79,859.00,Bank Transfer,Failed,iOS,Urban
177,USER_06373,01/09/2023,September,14:00:00,Loan Repayment,Axis Bank,9491.63,19.25,92.33,645.00,Bank Transfer,Pending,Android,Rural
178,USER_00698,01/09/2023,September,19:21:00,Gas Bill,Gujarat Gas,3218.18,6.73,23.50,749.00,Credit Card,Successful,iOS,Urban
179,USER_04926,01/09/2023,September,20:36:00,Education Fee,Unacademy,3589.73,37.44,31.78,690.00,Bank Transfer,Successful,Android,Urban
180,USER_01698,01/09/2023,September,21:07:00,Education Fee,BYJU'S,5864.16,23.07,44.70,591.00,UPI,Successful,Web,Urban
181,USER_00532,01/09/2023,September,23:01:00,Food Delivery,Swiggy,945.04,11.53,36.87,786.00,Wallet Balance,Successful,Android,Urban
182,USER_05398,01/09/2023,September,23:50:00,Taxi Fare,Rapido,3652.06,48.04,61.00,722.00,Bank Transfer,Successful,Android,Urban
183,USER_02641,02/09/2023,September,00:54:00,Hotel Booking,Fab Hotels,3555.68,7.11,88.51,541.00,Debit Card,Successful,iOS,Urban
184,USER_01608,02/09/2023,September,01:52:00,Flight Booking,Yatra,5752.30,12.65,17.18,163.00,Bank Transfer,Successful,Android,Urban
185,USER_03541,02/09/2023,September,03:37:00,Water Bill,Mumbai Water,2638.98,19.81,73.97,57.00,UPI,Successful,iOS,Urban
186,USER_05974,02/09/2023,September,05:42:00,Hotel Booking,OYO Rooms,3920.15,4.73,82.64,264.00,Credit Card,Successful,Android,Urban
187,USER_09037,02/09/2023,September,06:18:00,Water Bill,Mumbai Water,3677.16,13.34,52.64,301.00,Credit Card,Successful,Android,Suburban
188,USER_05270,02/09/2023,September,06:26:00,Mobile Recharge,Jio,8516.79,25.80,67.08,207.00,Bank Transfer,Successful,Android,Urban
189,USER_01958,02/09/2023,September,07:45:00,Flight Booking,EaseMyTrip,2380.44,17.50,86.02,103.00,Credit Card,Successful,iOS,Suburban
190,USER_00886,02/09/2023,September,09:38:00,Gift Card,Flipkart,6063.00,48.92,73.00,667.00,Bank Transfer,Successful,Android,Urban
191,USER_00898,02/09/2023,September,10:17:00,Flight Booking,Cleartrip,1902.67,38.20,23.19,374.00,Credit Card,Successful,iOS,Rural
192,USER_08809,02/09/2023,September,10:23:00,Food Delivery,Uber Eats,3754.59,12.11,11.38,254.00,Credit Card,Successful,iOS,Urban
